cluster,timeSpent
346,46.0
73,61.0
55,78.0
313,93.0
112,108.0
173,121.0
298,121.0
59,142.0
277,144.0
135,145.0
362,147.0
174,151.0
120,154.0
89,172.0
265,175.0
251,181.0
287,187.0
162,192.0
56,199.0
323,215.0
151,219.0
149,239.0
278,241.0
167,249.0
332,251.0
312,268.0
212,298.0
88,301.0
328,317.0
117,334.0
130,360.0
95,361.0
280,368.0
229,404.0
215,417.0
339,466.0
133,472.0
325,482.0
136,483.0
43,494.0
376,530.0
38,567.0
203,616.0
213,620.0
132,625.0
78,629.0
211,640.0
375,663.0
286,663.0
6,669.0
209,674.0
30,682.0
79,695.0
365,696.0
57,730.0
86,738.0
194,738.0
22,744.0
9,788.0
106,794.0
356,812.0
19,813.0
131,848.0
202,853.0
161,853.0
367,856.0
272,868.0
207,884.0
279,887.0
371,889.0
384,895.0
262,914.0
58,915.0
284,926.0
208,942.0
192,949.0
372,971.0
253,977.0
195,991.0
322,996.0
128,1016.0
158,1093.0
157,1096.0
160,1100.0
182,1101.0
368,1120.0
68,1124.0
193,1129.0
66,1139.0
118,1139.0
183,1156.0
85,1180.0
206,1218.0
327,1225.0
230,1240.0
282,1243.0
147,1265.0
80,1281.0
358,1311.0
315,1321.0
23,1340.0
204,1343.0
108,1353.0
140,1353.0
159,1379.0
299,1389.0
175,1396.0
92,1415.0
154,1446.0
221,1456.0
139,1491.0
71,1511.0
344,1518.0
233,1525.0
185,1528.0
317,1548.0
302,1581.0
250,1587.0
342,1593.0
81,1598.0
264,1601.0
369,1607.0
11,1633.0
190,1646.0
99,1716.0
150,1720.0
353,1732.0
314,1743.0
119,1759.0
273,1761.0
377,1783.0
121,1791.0
96,1792.0
223,1807.0
285,1838.0
255,1884.0
142,1896.0
87,1925.0
32,1942.0
127,1945.0
146,1961.0
320,1966.0
137,1988.0
366,1994.0
316,2049.0
91,2055.0
326,2056.0
216,2065.0
72,2078.0
324,2083.0
62,2097.0
378,2125.0
176,2133.0
268,2201.0
69,2210.0
380,2238.0
181,2243.0
283,2249.0
370,2267.0
311,2301.0
205,2354.0
319,2385.0
111,2390.0
41,2393.0
168,2422.0
24,2445.0
144,2448.0
281,2477.0
114,2501.0
100,2511.0
152,2542.0
143,2557.0
310,2597.0
231,2622.0
101,2654.0
169,2665.0
228,2673.0
382,2680.0
333,2682.0
126,2700.0
134,2785.0
82,2793.0
77,2808.0
252,2813.0
239,2819.0
40,2836.0
295,2840.0
307,2844.0
163,2912.0
16,2919.0
357,2984.0
13,3022.0
292,3023.0
263,3039.0
93,3041.0
309,3044.0
155,3059.0
321,3176.0
304,3215.0
44,3281.0
153,3296.0
336,3371.0
125,3380.0
179,3417.0
338,3424.0
340,3437.0
240,3494.0
97,3510.0
49,3514.0
269,3515.0
170,3536.0
224,3557.0
347,3588.0
225,3613.0
110,3639.0
348,3645.0
305,3719.0
232,3781.0
270,3783.0
350,3784.0
141,3835.0
259,3854.0
245,3856.0
189,3864.0
351,3879.0
21,3989.0
166,4027.0
48,4060.0
39,4144.0
138,4210.0
248,4219.0
214,4249.0
219,4308.0
12,4385.0
373,4458.0
186,4465.0
178,4500.0
254,4506.0
288,4562.0
308,4589.0
337,4599.0
294,4599.0
36,4755.0
331,4856.0
94,4911.0
359,4941.0
47,4944.0
361,4975.0
271,5016.0
266,5037.0
345,5113.0
290,5211.0
42,5256.0
61,5361.0
103,5387.0
210,5464.0
235,5474.0
234,5489.0
329,5581.0
4,5621.0
84,5637.0
107,5653.0
145,5689.0
123,5720.0
109,5723.0
124,5797.0
381,5930.0
289,6051.0
363,6201.0
296,6329.0
300,6413.0
274,6423.0
222,6465.0
261,6480.0
14,6484.0
246,6520.0
60,6642.0
98,6724.0
236,6730.0
148,6787.0
180,6828.0
218,6844.0
83,6851.0
303,6929.0
197,7019.0
276,7033.0
374,7119.0
343,7158.0
238,7168.0
37,7174.0
164,7207.0
199,7207.0
17,7211.0
257,7318.0
18,7373.0
184,7475.0
301,7492.0
256,7577.0
54,7654.0
35,7657.0
352,7694.0
275,7830.0
105,7876.0
15,7881.0
244,7994.0
104,8000.0
67,8013.0
318,8233.0
172,8472.0
115,8639.0
258,8727.0
45,8779.0
171,8974.0
247,9080.0
220,9171.0
113,9328.0
51,9405.0
227,9426.0
386,9501.0
52,9552.0
267,9866.0
355,9941.0
200,10318.0
249,10719.0
201,10726.0
237,10905.0
387,11259.0
226,11279.0
156,11713.0
335,12151.0
354,12312.0
306,12687.0
129,12865.0
65,12902.0
379,12939.0
242,13188.0
334,13490.0
297,13509.0
341,14051.0
20,14056.0
33,14284.0
165,14379.0
64,15042.0
383,16255.0
360,16508.0
50,16559.0
1,16730.0
385,16972.0
116,19474.0
102,20517.0
196,21152.0
70,22026.0
34,22054.0
74,22079.0
75,22362.0
122,23479.0
364,23773.0
29,24794.0
90,25523.0
53,27799.0
10,29568.0
8,29966.0
191,30568.0
7,30926.0
76,32792.0
28,33986.0
217,41057.0
330,43407.0
63,50875.0
198,53603.0
26,53916.0
46,57901.0
25,69299.0
188,85430.0
2,94870.0
3,103209.0
187,115540.0
31,116132.0
349,117257.0
243,128311.0
177,137069.0
260,144789.0
293,146809.0
5,156480.0
241,272187.0
291,671070.0
27,2495693.0
0,23265293.0
