yearAndMonth,clusterNumber,timeSpent
2020-12,7,1125113.0
2020-12,0,38184.0
2020-12,5,32300.0
2020-12,14,10132.0
2020-12,6,9470.0
2021-01,7,2388938.0
2021-01,5,232665.0
2021-01,3,21200.0
2021-01,6,15536.0
2021-01,12,12500.0
2021-02,7,2113976.0
2021-02,5,267764.0
2021-02,14,16828.0
2021-02,1,7538.0
2021-02,3,5277.0
2021-03,7,2278138.0
2021-03,5,366325.0
2021-03,6,15452.0
2021-03,12,9697.0
2021-03,0,6888.0
2021-04,7,1855609.0
2021-04,5,397767.0
2021-04,2,163160.0
2021-04,4,109698.0
2021-04,3,17372.0
2021-05,7,1994287.0
2021-05,5,322579.0
2021-05,4,165367.0
2021-05,2,75479.0
2021-05,0,35768.0
2021-06,7,1994311.0
2021-06,5,305030.0
2021-06,11,178386.0
2021-06,0,44641.0
2021-06,3,23506.0
2021-07,7,1796642.0
2021-07,5,301183.0
2021-07,9,245719.0
2021-07,13,172459.0
2021-07,0,37336.0
2021-08,7,2237250.0
2021-08,5,349609.0
2021-08,0,34851.0
2021-08,6,23707.0
2021-08,12,20708.0
2021-09,7,1376264.0
2021-09,11,433990.0
2021-09,9,315308.0
2021-09,5,303860.0
2021-09,6,63233.0
2021-10,7,2124726.0
2021-10,5,378593.0
2021-10,14,60741.0
2021-10,6,37260.0
2021-10,3,27216.0
2021-11,7,1854414.0
2021-11,9,338670.0
2021-11,5,281430.0
2021-11,0,28720.0
2021-11,14,24170.0
2021-12,7,113525.0
2021-12,5,40115.0
2021-12,12,272.0
